"","sample_year","ADUID","ADU_SPECIMEN_ID","sample_date","trip_no","effort_no","management_area_code","location_code","submitter_specimen_id","Bin"
"329",2019,"19K6270~309",57,2019-07-31,"0309","KS19-6270","K","K06","KS190409242019073103090057","(115,117]"
"330",2019,"19K6270~306",1,2019-07-31,"0306","KS19-6270","K","K06","KS190409242019073103060001","(151,153]"
"331",2019,"19K6270~302",4,2019-07-31,"0302","KS19-6270","K","K06","KS190409242019073103020004","(137,139]"
"335",2019,"19K6270~298",2,2019-07-31,"0298","KS19-6270","K","K06","KS190409242019073102980002","(135,137]"
"336",2019,"19K6270~306",8,2019-07-31,"0306","KS19-6270","K","K06","KS190409242019073103060008","(121,123]"
"338",2019,"19K6270~309",7,2019-07-31,"0309","KS19-6270","K","K06","KS190409242019073103090007","(147,149]"
"339",2019,"19K6270~302",14,2019-07-31,"0302","KS19-6270","K","K06","KS190409242019073103020014","(131,133]"
"342",2019,"19K6270~302",54,2019-07-31,"0302","KS19-6270","K","K06","KS190409242019073103020054","(85,87]"
"343",2019,"19K6270~306",2,2019-07-31,"0306","KS19-6270","K","K06","KS190409242019073103060002","(139,141]"
"344",2019,"19K6270~306",10,2019-07-31,"0306","KS19-6270","K","K06","KS190409242019073103060010","(139,141]"
"345",2019,"19K6270~304",47,2019-07-31,"0304","KS19-6270","K","K06","KS190409242019073103040047","(111,113]"
"349",2019,"19K6268~016",14,2019-07-01,"0016","KS19-6268","K","K18","KS190582002019070100160014","(111,113]"
"350",2019,"19K6268~010",43,2019-07-01,"0010","KS19-6268","K","K18","KS190582002019070100100043","(125,131]"
"356",2019,"19K6268~038",1,2019-07-02,"0038","KS19-6268","K","K18","KS190582002019070200380001","(141,143]"
"357",2019,"19K6268~004",8,2019-07-01,"0004","KS19-6268","K","K18","KS190582002019070100040008","(119,121]"
"358",2019,"19K6268~004",57,2019-07-01,"0004","KS19-6268","K","K18","KS190582002019070100040057","(109,111]"
"359",2019,"19K6268~016",4,2019-07-01,"0016","KS19-6268","K","K18","KS190582002019070100160004","(151,153]"
"361",2019,"19K6268~038",11,2019-07-02,"0038","KS19-6268","K","K18","KS190582002019070200380011","(117,119]"
"363",2019,"19K6268~004",18,2019-07-01,"0004","KS19-6268","K","K18","KS190582002019070100040018","(119,121]"
"364",2019,"19K6268~010",53,2019-07-01,"0010","KS19-6268","K","K18","KS190582002019070100100053","(91,93]"
"367",2019,"19K6268~016",42,2019-07-01,"0016","KS19-6268","K","K18","KS190582002019070100160042","(111,113]"
"369",2019,"19K6268~040",47,2019-07-02,"0040","KS19-6268","K","K18","KS190582002019070200400047","(111,113]"
"370",2019,"19K6268~004",49,2019-07-01,"0004","KS19-6268","K","K18","KS190582002019070100040049","(107,109]"
"379",2019,"19M6294~026",2,2019-10-05,"0026","MS19-6294","M","M10","MS190409242019100500260002","(141,143]"
"380",2019,"19M6294~029",50,2019-10-05,"0029","MS19-6294","M","M10","MS190409242019100500290050","(105,107]"
"381",2019,"19M6294~066",53,2019-10-07,"0066","MS19-6294","M","M10","MS190409242019100700660053","(123,125]"
"382",2019,"19M6294~044",55,2019-10-06,"0044","MS19-6294","M","M10","MS190409242019100600440055","(103,105]"
"383",2019,"19M6294~022",16,2019-10-05,"0022","MS19-6294","M","M10","MS190409242019100500220016","(143,145]"
"384",2019,"19M6294~061",47,2019-10-07,"0061","MS19-6294","M","M10","MS190409242019100700610047","(107,109]"
"385",2019,"19M6294~040",17,2019-10-06,"0040","MS19-6294","M","M10","MS190409242019100600400017","(119,121]"
"386",2019,"19M6294~061",16,2019-10-07,"0061","MS19-6294","M","M10","MS190409242019100700610016","(131,133]"
"387",2019,"19M6294~059",5,2019-10-07,"0059","MS19-6294","M","M10","MS190409242019100700590005","(149,151]"
"388",2019,"19M6294~064",42,2019-10-07,"0064","MS19-6294","M","M10","MS190409242019100700640042","(101,103]"
"389",2019,"19M6294~022",48,2019-10-05,"0022","MS19-6294","M","M10","MS190409242019100500220048","(105,107]"
"391",2019,"19M6294~066",18,2019-10-07,"0066","MS19-6294","M","M10","MS190409242019100700660018","(125,131]"
"392",2019,"19M6294~046",18,2019-10-06,"0046","MS19-6294","M","M10","MS190409242019100600460018","(139,141]"
"394",2019,"19M6294~029",54,2019-10-05,"0029","MS19-6294","M","M10","MS190409242019100500290054","(115,117]"
"395",2019,"19M6294~046",17,2019-10-06,"0046","MS19-6294","M","M10","MS190409242019100600460017","(143,145]"
"396",2019,"19M6294~066",1,2019-10-07,"0066","MS19-6294","M","M10","MS190409242019100700660001","(123,125]"
"398",2019,"19M6294~010",44,2019-10-04,"0010","MS19-6294","M","M10","MS190409242019100400100044","(111,113]"
"399",2019,"19M6294~010",54,2019-10-04,"0010","MS19-6294","M","M10","MS190409242019100400100054","(99,101]"
"400",2019,"19M6294~040",46,2019-10-06,"0040","MS19-6294","M","M10","MS190409242019100600400046","(111,113]"
"401",2019,"19M6294~029",16,2019-10-05,"0029","MS19-6294","M","M10","MS190409242019100500290016","(125,131]"
"403",2019,"19M6294~064",6,2019-10-07,"0064","MS19-6294","M","M10","MS190409242019100700640006","(125,131]"
"404",2019,"19M6294~026",52,2019-10-05,"0026","MS19-6294","M","M10","MS190409242019100500260052","(113,115]"
"405",2019,"19M6294~022",20,2019-10-05,"0022","MS19-6294","M","M10","MS190409242019100500220020","(139,141]"
"406",2019,"19M6294~010",8,2019-10-04,"0010","MS19-6294","M","M10","MS190409242019100400100008","(135,137]"
"407",2019,"19M6294~044",12,2019-10-06,"0044","MS19-6294","M","M10","MS190409242019100600440012","(149,151]"
"408",2019,"19M6294~026",8,2019-10-05,"0026","MS19-6294","M","M10","MS190409242019100500260008","(137,139]"
"409",2019,"19O6296~019",54,2019-10-26,"0019","OS19-6296","O","O04","OS190409242019102600190054","(125,131]"
"410",2019,"19O6296~005",18,2019-10-24,"0005","OS19-6296","O","O04","OS190409242019102400050018","(173,175]"
"411",2019,"19O6296~019",46,2019-10-26,"0019","OS19-6296","O","O04","OS190409242019102600190046","(101,103]"
"412",2019,"19O6296~059",5,2019-10-28,"0059","OS19-6296","O","O04","OS190409242019102800590005","(183,185]"
"413",2019,"19O6296~039",13,2019-10-27,"0039","OS19-6296","O","O04","OS190409242019102700390013","(165,167]"
"414",2019,"19O6296~039",55,2019-10-27,"0039","OS19-6296","O","O04","OS190409242019102700390055","(103,105]"
"415",2019,"19O6296~044",42,2019-10-27,"0044","OS19-6296","O","O04","OS190409242019102700440042","(153,155]"
"416",2019,"19O6296~024",53,2019-10-26,"0024","OS19-6296","O","O04","OS190409242019102600240053","(145,147]"
"418",2019,"19O6296~002",54,2019-10-24,"0002","OS19-6296","O","O04","OS190409242019102400020054","(119,121]"
"419",2019,"19O6296~059",9,2019-10-28,"0059","OS19-6296","O","O04","OS190409242019102800590009","(155,157]"
"421",2019,"19O6296~008",7,2019-10-24,"0008","OS19-6296","O","O04","OS190409242019102400080007","(157,159]"
"422",2019,"19O6296~024",57,2019-10-26,"0024","OS19-6296","O","O04","OS190409242019102600240057","(119,121]"
"423",2019,"19O6296~027",2,2019-10-26,"0027","OS19-6296","O","O04","OS190409242019102600270002","(169,171]"
"424",2019,"19O6296~019",48,2019-10-26,"0019","OS19-6296","O","O04","OS190409242019102600190048","(107,109]"
"425",2019,"19O6296~005",48,2019-10-24,"0005","OS19-6296","O","O04","OS190409242019102400050048","(109,111]"
"426",2019,"19O6296~002",18,2019-10-24,"0002","OS19-6296","O","O04","OS190409242019102400020018","(177,179]"
"427",2019,"19O6296~008",5,2019-10-24,"0008","OS19-6296","O","O04","OS190409242019102400080005","(151,153]"
"428",2019,"19O6296~044",57,2019-10-27,"0044","OS19-6296","O","O04","OS190409242019102700440057","(117,119]"
"429",2019,"19O6296~024",7,2019-10-26,"0024","OS19-6296","O","O04","OS190409242019102600240007","(157,159]"
"430",2019,"19O6296~008",15,2019-10-24,"0008","OS19-6296","O","O04","OS190409242019102400080015","(173,175]"
"431",2019,"19O6296~024",9,2019-10-26,"0024","OS19-6296","O","O04","OS190409242019102600240009","(151,153]"
"432",2019,"19O6296~005",54,2019-10-24,"0005","OS19-6296","O","O04","OS190409242019102400050054","(89,91]"
"434",2019,"19O6296~005",42,2019-10-24,"0005","OS19-6296","O","O04","OS190409242019102400050042","(137,139]"
"435",2019,"19O6296~042",15,2019-10-27,"0042","OS19-6296","O","O04","OS190409242019102700420015","(177,179]"
"436",2019,"19O6296~044",6,2019-10-27,"0044","OS19-6296","O","O04","OS190409242019102700440006","(157,159]"
"438",2019,"19O6296~044",20,2019-10-27,"0044","OS19-6296","O","O04","OS190409242019102700440020","(163,165]"
"439",2019,"19Q6295~087",46,2019-10-12,"0087","QS19-6295","Q","Q01","QS190409242019101200870046","(115,117]"
"440",2019,"19Q6295~082",53,2019-10-12,"0082","QS19-6295","Q","Q01","QS190409242019101200820053","(89,91]"
"441",2019,"19Q6295~062",14,2019-10-11,"0062","QS19-6295","Q","Q01","QS190409242019101100620014","(159,161]"
"442",2019,"19Q6295~082",55,2019-10-12,"0082","QS19-6295","Q","Q01","QS190409242019101200820055","(141,143]"
"443",2019,"19Q6295~028",43,2019-10-09,"0028","QS19-6295","Q","Q01","QS190409242019100900280043","(125,131]"
"444",2019,"19Q6295~140",9,2019-10-20,"0140","QS19-6295","Q","Q01","QS190409242019101901400009","(153,155]"
"445",2019,"19Q6295~041",55,2019-10-10,"0041","QS19-6295","Q","Q01","QS190409242019101000410055","(113,115]"
"446",2019,"19Q6295~002",18,2019-10-08,"0002","QS19-6295","Q","Q01","QS190409242019100800020018","(151,153]"
"447",2019,"19Q6295~099",52,2019-10-13,"0099","QS19-6295","Q","Q01","QS190409242019101300990052","(87,89]"
"448",2019,"19Q6295~145",42,2019-10-20,"0145","QS19-6295","Q","Q01","QS190409242019102001450042","(111,113]"
"449",2019,"19Q6295~163",41,2019-10-21,"0163","QS19-6295","Q","Q01","QS190409242019102101630041","(121,123]"
"450",2019,"19Q6295~005",42,2019-10-08,"0005","QS19-6295","Q","Q01","QS190409242019100800050042","(101,103]"
"451",2019,"19Q6295~043",49,2019-10-10,"0043","QS19-6295","Q","Q01","QS190409242019101000430049","(125,131]"
"452",2019,"19Q6295~067",5,2019-10-11,"0067","QS19-6295","Q","Q01","QS190409242019101100670005","(151,153]"
"453",2019,"19Q6295~009",8,2019-10-08,"0009","QS19-6295","Q","Q01","QS190409242019100800090008","(163,165]"
"454",2019,"19Q6295~129",51,2019-10-19,"0129","QS19-6295","Q","Q01","QS190409242019101901290051","(83,85]"
"455",2019,"19Q6295~047",57,2019-10-10,"0047","QS19-6295","Q","Q01","QS190409242019101000470057","(103,105]"
"456",2019,"19Q6295~166",58,2019-10-21,"0166","QS19-6295","Q","Q01","QS190409242019102101660058","(50,75]"
"457",2019,"19Q6295~087",18,2019-10-12,"0087","QS19-6295","Q","Q01","QS190409242019101200870018","(163,165]"
"458",2019,"19Q6295~022",1,2019-10-09,"0022","QS19-6295","Q","Q01","QS190409242019100900220001","(161,163]"
"459",2019,"19Q6295~067",42,2019-10-11,"0067","QS19-6295","Q","Q01","QS190409242019101100670042","(119,121]"
"460",2019,"19Q6295~110",47,2019-10-18,"0110","QS19-6295","Q","Q01","QS190409242019101801100047","(99,101]"
"461",2019,"19Q6295~110",43,2019-10-18,"0110","QS19-6295","Q","Q01","QS190409242019101801100043","(93,95]"
"462",2019,"19Q6295~082",57,2019-10-12,"0082","QS19-6295","Q","Q01","QS190409242019101200820057","(117,119]"
"463",2019,"19Q6295~028",41,2019-10-09,"0028","QS19-6295","Q","Q01","QS190409242019100900280041","(123,125]"
"464",2019,"19Q6295~005",12,2019-10-08,"0005","QS19-6295","Q","Q01","QS190409242019100800050012","(163,165]"
"465",2019,"19Q6295~047",6,2019-10-10,"0047","QS19-6295","Q","Q01","QS190409242019101000470006","(149,151]"
"466",2019,"19Q6295~166",17,2019-10-21,"0166","QS19-6295","Q","Q01","QS190409242019102101660017","(163,165]"
"467",2019,"19Q6295~009",2,2019-10-08,"0009","QS19-6295","Q","Q01","QS190409242019100800090002","(165,167]"
"468",2019,"19Q6295~099",42,2019-10-13,"0099","QS19-6295","Q","Q01","QS190409242019101300990042","(109,111]"
