"","sample_year","sample_date","project_code","trip_no","effort_no","submitter_sample_id","management_area_code","location_code","fishery_code","gear_type","gear_code","submitter_specimen_id","date_sampled","field_species_code","length","length_type_code","weight","weight_type_code","gender_code","maturity_code","specimen_comment","Bin","BinLocation","ADUID"
"505",2017,2017-08-19,"SO1","0828","DS17-5589","DS17040924201708190828","YAK","D02","CO","Dredge","22",41,2017-08-19,"850",108,"SH",NA,"WH",NA,NA,NA,"(107,109]","D02 (107,109]","17D5589~828"
"506",2017,2017-08-12,"SO1","0690","DS17-5589","DS17040924201708120690","YAK","D02","CO","Dredge","22",47,2017-08-12,"850",114,"SH",NA,"WH",NA,NA,NA,"(113,115]","D02 (113,115]","17D5589~690"
"507",2017,2017-08-19,"SO1","0824","DS17-5589","DS17040924201708190824","YAK","D02","CO","Dredge","22",1,2017-08-19,"850",115,"SH",NA,"WH",NA,NA,NA,"(113,115]","D02 (113,115]","17D5589~824"
"508",2017,2017-08-14,"SO2","0175","DS17-5594","DS17058200201708140175","YAK","D02","CO","Dredge","22",6,2017-08-14,"850",114,"SH",NA,"WH",NA,NA,NA,"(113,115]","D02 (113,115]","17D5594~175"
"509",2017,2017-08-08,"SO2","0063","DS17-5594","DS17058200201708080063","YAK","D02","CO","Dredge","22",1,2017-08-08,"850",114,"SH",NA,"WH",NA,NA,NA,"(113,115]","D02 (113,115]","17D5594~063"
"510",2017,2017-08-17,"SO1","0782","DS17-5589","DS17040924201708170782","YAK","D02","CO","Dredge","22",45,2017-08-17,"850",115,"SH",NA,"WH",NA,NA,NA,"(113,115]","D02 (113,115]","17D5589~782"
"511",2017,2017-08-18,"SO2","0804","DS17-5589","DS17040924201708180804","YAK","D02","CO","Dredge","22",3,2017-08-18,"850",134,"SH",NA,"WH",NA,NA,NA,"(133,135]","D02 (133,135]","17D5589~804"
"512",2017,2017-08-17,"SO1","0784","DS17-5589","DS17040924201708170784","YAK","D02","CO","Dredge","22",5,2017-08-17,"850",134,"SH",NA,"WH",NA,NA,NA,"(133,135]","D02 (133,135]","17D5589~784"
"514",2017,2017-08-10,"SO2","0652","DS17-5589","DS17040924201708100652","YAK","D02","CO","Dredge","22",6,2017-08-10,"850",134,"SH",NA,"WH",NA,NA,NA,"(133,135]","D02 (133,135]","17D5589~652"
"516",2017,2017-08-08,"SO2","0063","DS17-5594","DS17058200201708080063","YAK","D02","CO","Dredge","22",8,2017-08-08,"850",120,"SH",NA,"WH",NA,NA,NA,"(119,121]","D02 (119,121]","17D5594~063"
"517",2017,2017-08-15,"SO2","0749","DS17-5589","DS17040924201708150749","YAK","D02","CO","Dredge","22",1,2017-08-15,"850",120,"SH",NA,"WH",NA,NA,NA,"(119,121]","D02 (119,121]","17D5589~749"
"518",2017,2017-08-07,"SO1","0047","DS17-5594","DS17058200201708070047","YAK","D02","CO","Dredge","22",6,2017-08-07,"850",121,"SH",NA,"WH",NA,NA,NA,"(119,121]","D02 (119,121]","17D5594~047"
"519",2017,2017-08-13,"SO1","0154","DS17-5594","DS17058200201708130154","YAK","D02","CO","Dredge","22",8,2017-08-13,"850",120,"SH",NA,"WH",NA,NA,NA,"(119,121]","D02 (119,121]","17D5594~154"
"520",2017,2017-08-11,"SO1","0670","DS17-5589","DS17040924201708110670","YAK","D02","CO","Dredge","22",9,2017-08-11,"850",121,"SH",NA,"WH",NA,NA,NA,"(119,121]","D02 (119,121]","17D5589~670"
"521",2017,2017-08-13,"SO1","0713","DS17-5589","DS17040924201708130713","YAK","D02","CO","Dredge","22",46,2017-08-13,"850",102,"SH",NA,"WH",NA,NA,NA,"(101,103]","D02 (101,103]","17D5589~713"
"522",2017,2017-08-17,"SO1","0234","DS17-5594","DS17058200201708170234","YAK","D02","CO","Dredge","22",50,2017-08-17,"850",103,"SH",NA,"WH",NA,NA,NA,"(101,103]","D02 (101,103]","17D5594~234"
"523",2017,2017-08-07,"SO1","0053","DS17-5594","DS17058200201708070053","YAK","D02","CO","Dredge","22",43,2017-08-07,"850",103,"SH",NA,"WH",NA,NA,NA,"(101,103]","D02 (101,103]","17D5594~053"
"526",2017,2017-08-13,"SO1","0158","DS17-5594","DS17058200201708130158","YAK","D02","CO","Dredge","22",3,2017-08-13,"850",140,"SH",NA,"WH",NA,NA,NA,"(139,141]","D02 (139,141]","17D5594~158"
"527",2017,2017-08-14,"SO2","0175","DS17-5594","DS17058200201708140175","YAK","D02","CO","Dredge","22",4,2017-08-14,"850",140,"SH",NA,"WH",NA,NA,NA,"(139,141]","D02 (139,141]","17D5594~175"
"528",2017,2017-08-18,"SO1","0802","DS17-5589","DS17040924201708180802","YAK","D02","CO","Dredge","22",7,2017-08-18,"850",140,"SH",NA,"WH",NA,NA,NA,"(139,141]","D02 (139,141]","17D5589~802"
"531",2017,2017-08-20,"SO1","0842","DS17-5589","DS17040924201708200842","YAK","D03","CO","Dredge","22",49,2017-08-20,"850",114,"SH",NA,"WH",NA,NA,NA,"(113,115]","D03 (113,115]","17D5589~842"
"532",2017,2017-08-23,"SO2","0907","DS17-5589","DS17040924201708230907","YAK","D03","CO","Dredge","22",2,2017-08-23,"850",115,"SH",NA,"WH",NA,NA,NA,"(113,115]","D03 (113,115]","17D5589~907"
"534",2017,2017-08-21,"SO2","0858","DS17-5589","DS17040924201708210858","YAK","D03","CO","Dredge","22",5,2017-08-21,"850",114,"SH",NA,"WH",NA,NA,NA,"(113,115]","D03 (113,115]","17D5589~858"
"536",2017,2017-08-27,"SO1","0971","DS17-5589","DS17040924201708270971","YAK","D03","CO","Dredge","22",47,2017-08-27,"850",109,"SH",NA,"WH",NA,NA,NA,"(107,109]","D03 (107,109]","17D5589~971"
"538",2017,2017-08-21,"SO2","0858","DS17-5589","DS17040924201708210858","YAK","D03","CO","Dredge","22",10,2017-08-21,"850",109,"SH",NA,"WH",NA,NA,NA,"(107,109]","D03 (107,109]","17D5589~858"
"539",2017,2017-08-26,"SO1","0953","DS17-5589","DS17040924201708260953","YAK","D03","CO","Dredge","22",45,2017-08-26,"850",108,"SH",NA,"WH",NA,NA,NA,"(107,109]","D03 (107,109]","17D5589~953"
"541",2017,2017-09-14,"SO2","0647","DS17-5594","DS17058200201709140647","YAK","D03","CO","Dredge","22",3,2017-09-14,"850",119,"SH",NA,"WH",NA,NA,NA,"(117,119]","D03 (117,119]","17D5594~647"
"542",2017,2017-08-23,"SO2","0907","DS17-5589","DS17040924201708230907","YAK","D03","CO","Dredge","22",9,2017-08-23,"850",118,"SH",NA,"WH",NA,NA,NA,"(117,119]","D03 (117,119]","17D5589~907"
"543",2017,2017-08-25,"SO1","0937","DS17-5589","DS17040924201708250937","YAK","D03","CO","Dredge","22",2,2017-08-25,"850",119,"SH",NA,"WH",NA,NA,NA,"(117,119]","D03 (117,119]","17D5589~937"
"544",2017,2017-08-23,"SO2","0907","DS17-5589","DS17040924201708230907","YAK","D03","CO","Dredge","22",4,2017-08-23,"850",118,"SH",NA,"WH",NA,NA,NA,"(117,119]","D03 (117,119]","17D5589~907"
"546",2017,2017-08-22,"SO1","0875","DS17-5589","DS17040924201708220875","YAK","D03","CO","Dredge","22",47,2017-08-22,"850",101,"SH",NA,"WH",NA,NA,NA,"(99,101]","D03 (99,101]","17D5589~875"
"547",2017,2017-09-13,"SO1","0630","DS17-5594","DS17058200201709130630","YAK","D03","CO","Dredge","22",48,2017-09-13,"850",101,"SH",NA,"WH",NA,NA,NA,"(99,101]","D03 (99,101]","17D5594~630"
"549",2017,2017-08-20,"SO1","0846","DS17-5589","DS17040924201708200846","YAK","D03","CO","Dredge","22",49,2017-08-20,"850",101,"SH",NA,"WH",NA,NA,NA,"(99,101]","D03 (99,101]","17D5589~846"
"550",2017,2017-09-13,"SO1","0632","DS17-5594","DS17058200201709130632","YAK","D03","CO","Dredge","22",49,2017-09-13,"850",101,"SH",NA,"WH",NA,NA,NA,"(99,101]","D03 (99,101]","17D5594~632"
"551",2017,2017-08-24,"SO1","0925","DS17-5589","DS17040924201708240925","YAK","D03","CO","Dredge","22",9,2017-08-24,"850",121,"SH",NA,"WH",NA,NA,NA,"(119,121]","D03 (119,121]","17D5589~925"
"552",2017,2017-08-23,"SO2","0907","DS17-5589","DS17040924201708230907","YAK","D03","CO","Dredge","22",1,2017-08-23,"850",121,"SH",NA,"WH",NA,NA,NA,"(119,121]","D03 (119,121]","17D5589~907"
"553",2017,2017-08-26,"SO2","0957","DS17-5589","DS17040924201708260957","YAK","D03","CO","Dredge","22",1,2017-08-26,"850",120,"SH",NA,"WH",NA,NA,NA,"(119,121]","D03 (119,121]","17D5589~957"
"554",2017,2017-08-27,"SO1","0973","DS17-5589","DS17040924201708270973","YAK","D03","CO","Dredge","22",7,2017-08-27,"850",121,"SH",NA,"WH",NA,NA,NA,"(119,121]","D03 (119,121]","17D5589~973"
"556",2017,2017-08-21,"SO1","0860","DS17-5589","DS17040924201708210860","YAK","D03","CO","Dredge","22",42,2017-08-21,"850",107,"SH",NA,"WH",NA,NA,NA,"(105,107]","D03 (105,107]","17D5589~860"
"558",2017,2017-08-24,"SO1","0921","DS17-5589","DS17040924201708240921","YAK","D03","CO","Dredge","22",49,2017-08-24,"850",107,"SH",NA,"WH",NA,NA,NA,"(105,107]","D03 (105,107]","17D5589~921"
"561",2017,2017-08-23,"SO1","0899","DS17-5589","DS17040924201708230899","YAK","D03","CO","Dredge","22",44,2017-08-23,"850",96,"SH",NA,"WH",NA,NA,NA,"(95,97]","D03 (95,97]","17D5589~899"
"566",2017,2017-08-24,"SO1","0919","DS17-5589","DS17040924201708240919","YAK","D03","CO","Dredge","22",49,2017-08-24,"850",105,"SH",NA,"WH",NA,NA,NA,"(103,105]","D03 (103,105]","17D5589~919"
"567",2017,2017-08-23,"SO1","0895","DS17-5589","DS17040924201708230895","YAK","D03","CO","Dredge","22",44,2017-08-23,"850",104,"SH",NA,"WH",NA,NA,NA,"(103,105]","D03 (103,105]","17D5589~895"
"568",2017,2017-09-13,"SO1","0634","DS17-5594","DS17058200201709130634","YAK","D03","CO","Dredge","22",55,2017-09-13,"850",105,"SH",NA,"WH",NA,NA,NA,"(103,105]","D03 (103,105]","17D5594~634"
"571",2017,2017-08-04,"SO1","0001","DS17-5594","DS17058200201708040001","YAK","D08","CO","Dredge","22",9,2017-08-04,"850",128,"SH",NA,"WH",NA,NA,NA,"(125,131]","D08 (125,131]","17D5594~001"
"576",2017,2017-08-04,"SO1","0001","DS17-5594","DS17058200201708040001","YAK","D08","CO","Dredge","22",49,2017-08-04,"850",102,"SH",NA,"WH",NA,NA,NA,"(101,103]","D08 (101,103]","17D5594~001"
"581",2017,2017-08-05,"SO1","0016","DS17-5594","DS17058200201708050016","YAK","D08","CO","Dredge","22",4,2017-08-05,"850",147,"SH",NA,"WH",NA,NA,NA,"(145,147]","D08 (145,147]","17D5594~016"
"586",2017,2017-08-05,"SO1","0016","DS17-5594","DS17058200201708050016","YAK","D08","CO","Dredge","22",44,2017-08-05,"850",100,"SH",NA,"WH",NA,NA,NA,"(99,101]","D08 (99,101]","17D5594~016"
"591",2017,2017-08-05,"SO1","0018","DS17-5594","DS17058200201708050018","YAK","D01","CO","Dredge","22",13,2017-08-05,"850",136,"SH",NA,"WH",NA,NA,NA,"(135,137]","D01 (135,137]","17D5594~018"
"596",2017,2017-08-05,"SO1","0018","DS17-5594","DS17058200201708050018","YAK","D01","CO","Dredge","22",53,2017-08-05,"850",106,"SH",NA,"WH",NA,NA,NA,"(105,107]","D01 (105,107]","17D5594~018"
"601",2017,2017-08-05,"SO1","0020","DS17-5594","DS17058200201708050020","YAK","D01","CO","Dredge","22",7,2017-08-05,"850",120,"SH",NA,"WH",NA,NA,NA,"(119,121]","D01 (119,121]","17D5594~020"
"606",2017,2017-08-05,"SO1","0020","DS17-5594","DS17058200201708050020","YAK","D01","CO","Dredge","22",47,2017-08-05,"850",102,"SH",NA,"WH",NA,NA,NA,"(101,103]","D01 (101,103]","17D5594~020"
"611",2017,2017-08-15,"SO1","0194","DS17-5594","DS17058200201708150194","YAK","D02","CO","Dredge","22",51,2017-08-15,"850",94,"SH",NA,"WH",NA,NA,NA,"(93,95]","D02 (93,95]","17D5594~194"
"612",2017,2017-08-07,"SO1","0047","DS17-5594","DS17058200201708070047","YAK","D02","CO","Dredge","22",46,2017-08-07,"850",94,"SH",NA,"WH",NA,NA,NA,"(93,95]","D02 (93,95]","17D5594~047"
"613",2017,2017-08-13,"SO1","0156","DS17-5594","DS17058200201708130156","YAK","D02","CO","Dredge","22",41,2017-08-13,"850",95,"SH",NA,"WH",NA,NA,NA,"(93,95]","D02 (93,95]","17D5594~156"
"614",2017,2017-08-16,"SO1","0213","DS17-5594","DS17058200201708160213","YAK","D02","CO","Dredge","22",49,2017-08-16,"850",94,"SH",NA,"WH",NA,NA,NA,"(93,95]","D02 (93,95]","17D5594~213"
"615",2017,2017-08-09,"SO1","0081","DS17-5594","DS17058200201708090081","YAK","D02","CO","Dredge","22",46,2017-08-09,"850",95,"SH",NA,"WH",NA,NA,NA,"(93,95]","D02 (93,95]","17D5594~081"
"616",2017,2017-08-08,"SO2","0063","DS17-5594","DS17058200201708080063","YAK","D02","CO","Dredge","22",2,2017-08-08,"850",151,"SH",NA,"WH",NA,NA,NA,"(149,151]","D02 (149,151]","17D5594~063"
"621",2017,2017-08-17,"SO1","0232","DS17-5594","DS17058200201708170232","YAK","D02","CO","Dredge","22",54,2017-08-17,"850",93,"SH",NA,"WH",NA,NA,NA,"(91,93]","D02 (91,93]","17D5594~232"
"622",2017,2017-08-10,"SO1","0103","DS17-5594","DS17058200201708100103","YAK","D02","CO","Dredge","22",48,2017-08-10,"850",93,"SH",NA,"WH",NA,NA,NA,"(91,93]","D02 (91,93]","17D5594~103"
"625",2017,2017-08-18,"SO1","0254","DS17-5594","DS17058200201708180254","YAK","D02","CO","Dredge","22",42,2017-08-18,"850",93,"SH",NA,"WH",NA,NA,NA,"(91,93]","D02 (91,93]","17D5594~254"
"626",2017,2017-08-13,"SO1","0160","DS17-5594","DS17058200201708130160","YAK","D02","CO","Dredge","22",47,2017-08-13,"850",90,"SH",NA,"WH",NA,NA,NA,"(89,91]","D02 (89,91]","17D5594~160"
"627",2017,2017-08-17,"SO1","0236","DS17-5594","DS17058200201708170236","YAK","D02","CO","Dredge","22",41,2017-08-17,"850",90,"SH",NA,"WH",NA,NA,NA,"(89,91]","D02 (89,91]","17D5594~236"
"631",2017,2017-08-14,"SO2","0175","DS17-5594","DS17058200201708140175","YAK","D02","CO","Dredge","22",2,2017-08-14,"850",147,"SH",NA,"WH",NA,NA,NA,"(145,147]","D02 (145,147]","17D5594~175"
"636",2017,2017-08-15,"SO1","0196","DS17-5594","DS17058200201708150196","YAK","D01","CO","Dredge","22",17,2017-08-15,"850",124,"SH",NA,"WH",NA,NA,NA,"(123,125]","D01 (123,125]","17D5594~196"
"641",2017,2017-08-15,"SO1","0196","DS17-5594","DS17058200201708150196","YAK","D01","CO","Dredge","22",57,2017-08-15,"850",108,"SH",NA,"WH",NA,NA,NA,"(107,109]","D01 (107,109]","17D5594~196"
"646",2017,2017-08-17,"SO2","0230","DS17-5594","DS17058200201708170230","YAK","D02","CO","Dredge","22",2,2017-08-17,"850",138,"SH",NA,"WH",NA,NA,NA,"(137,139]","D02 (137,139]","17D5594~230"
"647",2017,2017-08-18,"SO1","0248","DS17-5594","DS17058200201708180248","YAK","D02","CO","Dredge","22",12,2017-08-18,"850",139,"SH",NA,"WH",NA,NA,NA,"(137,139]","D02 (137,139]","17D5594~248"
"648",2017,2017-08-19,"SO2","0274","DS17-5594","DS17058200201708190274","YAK","D02","CO","Dredge","22",10,2017-08-19,"850",138,"SH",NA,"WH",NA,NA,NA,"(137,139]","D02 (137,139]","17D5594~274"
"651",2017,2017-08-18,"SO1","0250","DS17-5594","DS17058200201708180250","YAK","D02","CO","Dredge","22",55,2017-08-18,"850",86,"SH",NA,"WH",NA,NA,NA,"(85,87]","D02 (85,87]","17D5594~250"
"656",2017,2017-09-08,"SO1","0550","DS17-5594","DS17058200201709080550","YAK","D04","CO","Dredge","22",13,2017-09-08,"850",148,"SH",NA,"WH",NA,NA,NA,"(147,149]","D04 (147,149]","17D5594~550"
"661",2017,2017-09-13,"SO1","0634","DS17-5594","DS17058200201709130634","YAK","D03","CO","Dredge","22",15,2017-09-13,"850",142,"SH",NA,"WH",NA,NA,NA,"(141,143]","D03 (141,143]","17D5594~634"
"666",2017,2017-09-14,"SO1","0645","DS17-5594","DS17058200201709140645","YAK","D03","CO","Dredge","22",12,2017-09-14,"850",135,"SH",NA,"WH",NA,NA,NA,"(133,135]","D03 (133,135]","17D5594~645"
"671",2017,2017-09-14,"SO2","0647","DS17-5594","DS17058200201709140647","YAK","D03","CO","Dredge","22",6,2017-09-14,"850",144,"SH",NA,"WH",NA,NA,NA,"(143,145]","D03 (143,145]","17D5594~647"
"676",2017,2017-08-01,"SO1","0002","ES17-5593","ES17058200201708010002","WKI","E02","CO","Dredge","22",2,2017-08-01,"850",100,"SH",NA,"WH",NA,NA,NA,"(99,101]","E02 (99,101]","17E5593~002"
"678",2017,2017-08-02,"SO1","0016","ES17-5593","ES17058200201708020016","WKI","E02","CO","Dredge","22",56,2017-08-02,"850",101,"SH",NA,"WH",NA,NA,NA,"(99,101]","E02 (99,101]","17E5593~016"
"680",2017,2017-08-02,"SO1","0020","ES17-5593","ES17058200201708020020","WKI","E02","CO","Dredge","22",55,2017-08-02,"850",100,"SH",NA,"WH",NA,NA,NA,"(99,101]","E02 (99,101]","17E5593~020"
"681",2017,2017-08-01,"SO1","0004","ES17-5593","ES17058200201708010004","WKI","E02","CO","Dredge","22",20,2017-08-01,"850",125,"SH",NA,"WH",NA,NA,NA,"(123,125]","E02 (123,125]","17E5593~004"
"682",2017,2017-08-01,"SO1","0006","ES17-5593","ES17058200201708010006","WKI","E02","CO","Dredge","22",16,2017-08-01,"850",124,"SH",NA,"WH",NA,NA,NA,"(123,125]","E02 (123,125]","17E5593~006"
"683",2017,2017-08-04,"SO2","0052","ES17-5593","ES17058200201708040052","WKI","E02","CO","Dredge","22",7,2017-08-04,"850",124,"SH",NA,"WH",NA,NA,NA,"(123,125]","E02 (123,125]","17E5593~052"
"686",2017,2017-08-03,"SO1","0033","ES17-5593","ES17058200201708030033","WKI","E02","CO","Dredge","22",15,2017-08-03,"850",120,"SH",NA,"WH",NA,NA,NA,"(119,121]","E02 (119,121]","17E5593~033"
"687",2017,2017-08-04,"SO1","0054","ES17-5593","ES17058200201708040054","WKI","E02","CO","Dredge","22",12,2017-08-04,"850",120,"SH",NA,"WH",NA,NA,NA,"(119,121]","E02 (119,121]","17E5593~054"
"688",2017,2017-08-04,"SO1","0054","ES17-5593","ES17058200201708040054","WKI","E02","CO","Dredge","22",18,2017-08-04,"850",120,"SH",NA,"WH",NA,NA,NA,"(119,121]","E02 (119,121]","17E5593~054"
"691",2017,2017-08-01,"SO1","0002","ES17-5593","ES17058200201708010002","WKI","E02","CO","Dredge","22",17,2017-08-01,"850",118,"SH",NA,"WH",NA,NA,NA,"(117,119]","E02 (117,119]","17E5593~002"
"692",2017,2017-08-01,"SO1","0004","ES17-5593","ES17058200201708010004","WKI","E02","CO","Dredge","22",5,2017-08-01,"850",118,"SH",NA,"WH",NA,NA,NA,"(117,119]","E02 (117,119]","17E5593~004"
"696",2017,2017-08-04,"SO1","0054","ES17-5593","ES17058200201708040054","WKI","E02","CO","Dredge","22",15,2017-08-04,"850",122,"SH",NA,"WH",NA,NA,NA,"(121,123]","E02 (121,123]","17E5593~054"
"697",2017,2017-08-02,"SO1","0016","ES17-5593","ES17058200201708020016","WKI","E02","CO","Dredge","22",7,2017-08-02,"850",122,"SH",NA,"WH",NA,NA,NA,"(121,123]","E02 (121,123]","17E5593~016"
"698",2017,2017-08-02,"SO1","0018","ES17-5593","ES17058200201708020018","WKI","E02","CO","Dredge","22",15,2017-08-02,"850",122,"SH",NA,"WH",NA,NA,NA,"(121,123]","E02 (121,123]","17E5593~018"
"699",2017,2017-08-03,"SO1","0039","ES17-5593","ES17058200201708030039","WKI","E02","CO","Dredge","22",7,2017-08-03,"850",122,"SH",NA,"WH",NA,NA,NA,"(121,123]","E02 (121,123]","17E5593~039"
"701",2017,2017-08-01,"SO1","0002","ES17-5593","ES17058200201708010002","WKI","E02","CO","Dredge","22",42,2017-08-01,"850",98,"SH",NA,"WH",NA,NA,NA,"(97,99]","E02 (97,99]","17E5593~002"
"702",2017,2017-08-03,"SO1","0033","ES17-5593","ES17058200201708030033","WKI","E02","CO","Dredge","22",46,2017-08-03,"850",98,"SH",NA,"WH",NA,NA,NA,"(97,99]","E02 (97,99]","17E5593~033"
"703",2017,2017-08-03,"SO1","0035","ES17-5593","ES17058200201708030035","WKI","E02","CO","Dredge","22",59,2017-08-03,"850",99,"SH",NA,"WH",NA,NA,NA,"(97,99]","E02 (97,99]","17E5593~035"
"705",2017,2017-08-03,"SO1","0037","ES17-5593","ES17058200201708030037","WKI","E02","CO","Dredge","22",57,2017-08-03,"850",99,"SH",NA,"WH",NA,NA,NA,"(97,99]","E02 (97,99]","17E5593~037"
"706",2017,2017-08-02,"SO1","0018","ES17-5593","ES17058200201708020018","WKI","E02","CO","Dredge","22",55,2017-08-02,"850",104,"SH",NA,"WH",NA,NA,NA,"(103,105]","E02 (103,105]","17E5593~018"
"709",2017,2017-08-01,"SO1","0002","ES17-5593","ES17058200201708010002","WKI","E02","CO","Dredge","22",48,2017-08-01,"850",104,"SH",NA,"WH",NA,NA,NA,"(103,105]","E02 (103,105]","17E5593~002"
"711",2017,2017-08-01,"SO1","0002","ES17-5593","ES17058200201708010002","WKI","E02","CO","Dredge","22",51,2017-08-01,"850",86,"SH",NA,"WH",NA,NA,NA,"(85,87]","E02 (85,87]","17E5593~002"
"714",2017,2017-08-02,"SO1","0020","ES17-5593","ES17058200201708020020","WKI","E02","CO","Dredge","22",52,2017-08-02,"850",87,"SH",NA,"WH",NA,NA,NA,"(85,87]","E02 (85,87]","17E5593~020"
"716",2017,2017-08-03,"SO1","0037","ES17-5593","ES17058200201708030037","WKI","E02","CO","Dredge","22",51,2017-08-03,"850",93,"SH",NA,"WH",NA,NA,NA,"(91,93]","E02 (91,93]","17E5593~037"
"717",2017,2017-08-03,"SO1","0033","ES17-5593","ES17058200201708030033","WKI","E02","CO","Dredge","22",55,2017-08-03,"850",92,"SH",NA,"WH",NA,NA,NA,"(91,93]","E02 (91,93]","17E5593~033"
"718",2017,2017-08-03,"SO1","0033","ES17-5593","ES17058200201708030033","WKI","E02","CO","Dredge","22",41,2017-08-03,"850",92,"SH",NA,"WH",NA,NA,NA,"(91,93]","E02 (91,93]","17E5593~033"
"720",2017,2017-08-02,"SO1","0018","ES17-5593","ES17058200201708020018","WKI","E02","CO","Dredge","22",58,2017-08-02,"850",92,"SH",NA,"WH",NA,NA,NA,"(91,93]","E02 (91,93]","17E5593~018"
"721",2017,2017-08-01,"SO1","0004","ES17-5593","ES17058200201708010004","WKI","E02","CO","Dredge","22",17,2017-08-01,"850",117,"SH",NA,"WH",NA,NA,NA,"(115,117]","E02 (115,117]","17E5593~004"
"722",2017,2017-08-03,"SO1","0033","ES17-5593","ES17058200201708030033","WKI","E02","CO","Dredge","22",12,2017-08-03,"850",116,"SH",NA,"WH",NA,NA,NA,"(115,117]","E02 (115,117]","17E5593~033"
"723",2017,2017-08-03,"SO1","0033","ES17-5593","ES17058200201708030033","WKI","E02","CO","Dredge","22",1,2017-08-03,"850",117,"SH",NA,"WH",NA,NA,NA,"(115,117]","E02 (115,117]","17E5593~033"
"724",2017,2017-08-04,"SO2","0052","ES17-5593","ES17058200201708040052","WKI","E02","CO","Dredge","22",10,2017-08-04,"850",117,"SH",NA,"WH",NA,NA,NA,"(115,117]","E02 (115,117]","17E5593~052"
"726",2017,2017-08-04,"SO1","0054","ES17-5593","ES17058200201708040054","WKI","E02","CO","Dredge","22",52,2017-08-04,"850",79,"SH",NA,"WH",NA,NA,NA,"(77,79]","E02 (77,79]","17E5593~054"
"728",2017,2017-08-01,"SO1","0004","ES17-5593","ES17058200201708010004","WKI","E02","CO","Dredge","22",45,2017-08-01,"850",79,"SH",NA,"WH",NA,NA,NA,"(77,79]","E02 (77,79]","17E5593~004"
"731",2017,2017-08-01,"SO1","0004","ES17-5593","ES17058200201708010004","WKI","E02","CO","Dredge","22",48,2017-08-01,"850",82,"SH",NA,"WH",NA,NA,NA,"(81,83]","E02 (81,83]","17E5593~004"
"732",2017,2017-08-01,"SO1","0006","ES17-5593","ES17058200201708010006","WKI","E02","CO","Dredge","22",53,2017-08-01,"850",83,"SH",NA,"WH",NA,NA,NA,"(81,83]","E02 (81,83]","17E5593~006"
"733",2017,2017-08-03,"SO1","0039","ES17-5593","ES17058200201708030039","WKI","E02","CO","Dredge","22",56,2017-08-03,"850",82,"SH",NA,"WH",NA,NA,NA,"(81,83]","E02 (81,83]","17E5593~039"
"735",2017,2017-08-03,"SO1","0037","ES17-5593","ES17058200201708030037","WKI","E02","CO","Dredge","22",54,2017-08-03,"850",83,"SH",NA,"WH",NA,NA,NA,"(81,83]","E02 (81,83]","17E5593~037"
"736",2017,2017-08-02,"SO1","0020","ES17-5593","ES17058200201708020020","WKI","E02","CO","Dredge","22",58,2017-08-02,"850",95,"SH",NA,"WH",NA,NA,NA,"(93,95]","E02 (93,95]","17E5593~020"
"737",2017,2017-08-02,"SO1","0018","ES17-5593","ES17058200201708020018","WKI","E02","CO","Dredge","22",12,2017-08-02,"850",94,"SH",NA,"WH",NA,NA,NA,"(93,95]","E02 (93,95]","17E5593~018"
"738",2017,2017-08-03,"SO1","0039","ES17-5593","ES17058200201708030039","WKI","E02","CO","Dredge","22",50,2017-08-03,"850",94,"SH",NA,"WH",NA,NA,NA,"(93,95]","E02 (93,95]","17E5593~039"
"739",2017,2017-08-01,"SO1","0006","ES17-5593","ES17058200201708010006","WKI","E02","CO","Dredge","22",42,2017-08-01,"850",95,"SH",NA,"WH",NA,NA,NA,"(93,95]","E02 (93,95]","17E5593~006"
"741",2017,2017-08-01,"SO1","0004","ES17-5593","ES17058200201708010004","WKI","E02","CO","Dredge","22",54,2017-08-01,"850",85,"SH",NA,"WH",NA,NA,NA,"(83,85]","E02 (83,85]","17E5593~004"
"746",2017,2017-08-02,"SO1","0016","ES17-5593","ES17058200201708020016","WKI","E02","CO","Dredge","22",44,2017-08-02,"850",96,"SH",NA,"WH",NA,NA,NA,"(95,97]","E02 (95,97]","17E5593~016"
"747",2017,2017-08-02,"SO1","0016","ES17-5593","ES17058200201708020016","WKI","E02","CO","Dredge","22",47,2017-08-02,"850",96,"SH",NA,"WH",NA,NA,NA,"(95,97]","E02 (95,97]","17E5593~016"
"748",2017,2017-08-03,"SO1","0035","ES17-5593","ES17058200201708030035","WKI","E02","CO","Dredge","22",44,2017-08-03,"850",96,"SH",NA,"WH",NA,NA,NA,"(95,97]","E02 (95,97]","17E5593~035"
"750",2017,2017-08-01,"SO1","0004","ES17-5593","ES17058200201708010004","WKI","E02","CO","Dredge","22",57,2017-08-01,"850",96,"SH",NA,"WH",NA,NA,NA,"(95,97]","E02 (95,97]","17E5593~004"
"751",2017,2017-08-03,"SO1","0039","ES17-5593","ES17058200201708030039","WKI","E02","CO","Dredge","22",16,2017-08-03,"850",114,"SH",NA,"WH",NA,NA,NA,"(113,115]","E02 (113,115]","17E5593~039"
"754",2017,2017-08-01,"SO1","0006","ES17-5593","ES17058200201708010006","WKI","E02","CO","Dredge","22",2,2017-08-01,"850",115,"SH",NA,"WH",NA,NA,NA,"(113,115]","E02 (113,115]","17E5593~006"
